VOLKSWAGEN,Tiguan,SUV - SMALL,2.0,4,10.7,8.0,9.5,221,Petrol,9.62,9.889999999999999,9.08,8.809999999999999,9.35
ASTON MARTIN,Vantage V8,TWO-SEATER,4.0,8,13.1,9.6,11.5,270,Diesel,11.7,12.05,11.0,10.649999999999999,11.35
BMW,M240i Coupe M Performance,SUBCOMPACT,3.0,6,11.4,8.1,9.9,231,Diesel,10.08,10.41,9.42,9.09,9.75
KIA,Rio,COMPACT,1.6,4,7.8,6.0,7.0,167,Petrol,7.08,7.26,6.72,6.539999999999999,6.9
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,10.8,7.1,9.1,209,Diesel,9.32,9.69,8.58,8.21,8.95
CADILLAC,ATS AWD,COMPACT,3.6,6,13.1,9.0,11.3,260,Petrol,11.459999999999999,11.87,10.64,10.23,11.05
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,9.7,7.1,8.5,196,Petrol,8.66,8.919999999999998,8.14,7.879999999999999,8.399999999999999
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,9.3,7.5,8.5,196,Diesel,8.58,8.76,8.22,8.04,8.4
MITSUBISHI,MIRAGE,COMPACT,1.2,3,6.4,5.4,6.0,138,Petrol,6.0,6.1,5.800000000000001,5.699999999999999,5.9
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,8.9,7.3,8.2,189,Petrol,8.26,8.42,7.94,7.779999999999999,8.1
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,14.1,9.7,12.1,278,Diesel,12.34,12.78,11.46,11.02,11.899999999999999
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,17.9,13.0,15.7,251,Electric,15.939999999999998,16.429999999999996,14.96,14.469999999999999,15.45
MITSUBISHI,MIRAGE,COMPACT,1.2,3,7.0,5.5,6.4,147,Petrol,6.4,6.549999999999999,6.1,5.949999999999999,6.25
AUDI,S7 QUATTRO,MID-SIZE,4.0,8,13.4,8.8,11.4,265,Diesel,11.559999999999999,12.02,10.64,10.18,11.100000000000001
BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,12.1,8.4,10.5,246,Diesel,10.620000000000001,10.989999999999998,9.879999999999999,9.51,10.25
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,13.1,10.1,11.7,275,Petrol,11.899999999999999,12.2,11.3,11.0,11.6
HYUNDAI,VELOSTER,COMPACT,1.6,4,8.8,6.7,7.8,186,Petrol,7.960000000000001,8.17,7.54,7.33,7.75
LEXUS,GS 200t F SPORT,MID-SIZE,2.0,4,11.3,7.8,9.7,227,Diesel,9.9,10.25,9.2,8.85,9.55
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,8.2,5.9,7.2,169,Petrol,7.279999999999999,7.51,6.82,6.59,7.05
PORSCHE,PANAMERA TURBO,FULL-SIZE,4.8,8,15.3,9.7,12.8,300,Diesel,13.059999999999999,13.62,11.940000000000001,11.379999999999999,12.5
BMW,M2,SUBCOMPACT,3.0,6,13.1,9.2,11.4,267,Diesel,11.54,11.93,10.76,10.37,11.149999999999999
DODGE,CHALLENGER,MID-SIZE,6.4,8,16.7,10.4,13.9,325,Diesel,14.18,14.809999999999999,12.92,12.29,13.55
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4,10.8,7.9,9.5,255,CNG,9.64,9.93,9.06,8.77,9.350000000000001
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,16.0,11.7,14.1,330,Diesel,14.28,14.709999999999999,13.42,12.989999999999998,13.85
KIA,FORTE 5,FULL-SIZE,2.0,4,9.7,7.0,8.3,197,Petrol,8.62,8.889999999999999,8.08,7.809999999999999,8.35
MERCEDES-BENZ,MAYBACH S 600,FULL-SIZE,6.0,12,18.2,11.0,15.0,359,Diesel,15.32,16.04,13.879999999999999,13.16,14.6
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,20.7,14.7,18.0,300,Electric,18.3,18.9,17.099999999999998,16.5,17.7
BMW,340i xDRIVE,COMPACT,3.0,6,11.1,7.5,9.5,223,Diesel,9.66,10.02,8.940000000000001,8.58,9.3
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4,9.3,7.0,8.3,193,Petrol,8.38,8.61,7.920000000000001,7.6899999999999995,8.15
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,12.1,9.2,10.8,253,Petrol,10.94,11.229999999999999,10.36,10.07,10.649999999999999
ACURA,RDX AWD A-SPEC,SUV - SMALL,2.0,4,11.3,9.1,10.3,242,Diesel,10.42,10.64,9.98,9.76,10.2
AUDI,TTS Coupe,SUBCOMPACT,2.0,4,10.4,8.2,9.4,220,Diesel,9.52,9.739999999999998,9.079999999999998,8.86,9.3
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6,14.7,11.2,13.1,308,Petrol,13.299999999999997,13.649999999999999,12.6,12.249999999999998,12.95
TOYOTA,Camry XSE,MID-SIZE,3.5,6,10.7,7.4,9.2,215,Petrol,9.379999999999999,9.709999999999999,8.72,8.389999999999999,9.05
CADILLAC,XT5,SUV - SMALL,2.0,4,11.0,8.3,9.8,227,Diesel,9.92,10.19,9.38,9.11,9.65
FORD,Fusion Hybrid,MID-SIZE,2.0,4,5.5,5.7,5.6,131,Petrol,5.58,5.56,5.62,5.64,5.6
JAGUAR,E-PACE P300,SUV - SMALL,2.0,4,11.2,8.6,10.1,236,Diesel,10.16,10.419999999999998,9.639999999999999,9.379999999999999,9.899999999999999
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,13.7,10.1,12.1,278,Diesel,12.259999999999998,12.619999999999997,11.54,11.18,11.899999999999999
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8,20.6,13.6,17.5,280,Electric,17.8,18.5,16.4,15.7,17.1
LEXUS,GS 350,MID-SIZE,3.5,6,12.1,8.3,10.4,239,Diesel,10.58,10.959999999999999,9.82,9.440000000000001,10.2
MASERATI,GHIBLI AWD,MID-SIZE,3.0,6,15.2,9.6,12.7,292,Diesel,12.959999999999999,13.52,11.84,11.28,12.399999999999999
SUBARU,IMPREZA AWD,COMPACT,2.5,4,12.6,9.5,11.2,258,Diesel,11.36,11.669999999999998,10.74,10.43,11.05
ACURA,ILX HYBRID,COMPACT,1.5,4,6.0,6.1,6.1,140,Diesel,6.039999999999999,6.029999999999999,6.0600000000000005,6.069999999999999,6.05
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,13.3,9.1,11.4,262,Diesel,11.620000000000001,12.040000000000001,10.780000000000001,10.36,11.2
VOLKSWAGEN,GOLF,COMPACT,1.8,4,9.3,6.4,8.0,184,Petrol,8.14,8.43,7.5600000000000005,7.27,7.8500000000000005
BMW,M2,SUBCOMPACT,3.0,6,11.8,8.8,10.4,244,Diesel,10.600000000000001,10.9,10.0,9.7,10.3
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,14.8,9.3,12.3,289,Petrol,12.600000000000001,13.149999999999999,11.5,10.95,12.05
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,12.7,9.6,11.3,265,Petrol,11.459999999999999,11.77,10.84,10.53,11.149999999999999
HYUNDAI,GENESIS AWD,FULL-SIZE,5.0,8,17.3,10.5,14.2,332,Diesel,14.580000000000002,15.26,13.22,12.54,13.9
JEEP,CHEROKEE 4X4,SUV - SMALL,3.2,6,11.6,8.5,10.2,240,Petrol,10.36,10.669999999999998,9.739999999999998,9.43,10.05
MINI,COOPER S CLUBMAN,MID-SIZE,2.0,4,10.6,7.4,9.2,215,Diesel,9.32,9.639999999999999,8.68,8.36,9.0
CHEVROLET,MALIBU,MID-SIZE,2.0,4,10.7,7.1,9.1,212,Diesel,9.259999999999998,9.62,8.54,8.18,8.899999999999999
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6,19.0,14.3,16.9,281,Electric,17.12,17.59,16.18,15.71,16.65
HONDA,CIVIC COUPE,COMPACT,2.0,4,7.8,6.0,7.0,163,Petrol,7.08,7.26,6.72,6.539999999999999,6.9
HYUNDAI,TUCSON,SUV - SMALL,1.6,4,9.9,8.5,9.3,221,Petrol,9.34,9.48,9.06,8.92,9.2
LINCOLN,CONTINENTAL AWD,FULL-SIZE,3.0,6,14.4,9.7,12.3,288,Petrol,12.52,12.99,11.58,11.11,12.05
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,9.3,6.9,8.2,194,Petrol,8.34,8.58,7.86,7.62,8.100000000000001
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,8.5,7.5,8.0,189,Diesel,8.1,8.2,7.9,7.8,8.0
BMW,M240i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,11.2,7.8,9.7,227,Diesel,9.84,10.18,9.16,8.82,9.5
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,4.9,4.8,4.9,113,Petrol,4.859999999999999,4.87,4.84,4.83,4.85
GMC,Yukon XL,SUV - STANDARD,5.3,8,15.7,10.5,13.4,314,Petrol,13.620000000000001,14.139999999999999,12.58,12.059999999999999,13.1
